Change Ratio Desc,
Financial Instrument,VWAP,Last,Change Since Open,Change %,Average Volume,Short-Term Volume 5 Min,Industry,
CCC,21.360725731449556,21.35,0.0,0.6174242424242424,549700.0,100.0,Chemicals,
AKTX,,8.51,2.0599999999999996,0.5223613595706619,84900.0,0.0,Pharmaceuticals,
VERI,,53.95,7.700000000000003,0.16952091914155648,257700.0,0.0,Software,
MSB,,20.90,1.3000000000000007,0.13896457765667578,44900.0,0.0,Iron/Steel,
KND,,6.30,0.7000000000000002,0.12500000000000003,1224800.0,0.0,Healthcare-Services,
QURE,,9.51,0.9599999999999991,0.1201413427561837,126000.0,0.0,Pharmaceuticals,
CLXT,NoMD,26.51,2.490000000000002,0.10735171261487052,151600.0,0.0,Biotechnology,
ZLAB,,31.11,2.9299999999999997,0.11385606874328678,5031400.0,0.0,Biotechnology,
DGAZ,,24.10,1.3800000000000026,0.1090658076392085,3564700.0,0.0,,
IPXL,,23.80,2.25,0.10440835266821345,1592500.0,0.0,Pharmaceuticals,
ADOM,7.837929665267399,7.74,0.46999999999999975,,158200.0,0.0,Auto Manufacturers,
MATX,29.077644193690215,28.67,1.120000000000001,NoMD,279100.0,0.0,Transportation,
NTLA,25.616899838884454,25.75,2.0500000000000007,,294700.0,0.0,Biotechnology,
APC,48.03226319716241,49.48,1.2800000000000011,,4825200.0,400.0,Oil&Gas,
QIWI,17.613071672656435,17.94,1.2600000000000016,0.08007224563515966,585200.0,0.0,Commercial Services,
TPRE,15.59169175316998,15.55,0.1999999999999993,0.07986111111111113,471400.0,0.0,Insurance,
KOLD,32.97757884658384,33.62,1.4199999999999946,,70900.0,0.0,,
SUPN,38.869241134779294,39.50,3.1999999999999957,,735700.0,0.0,Pharmaceuticals,
SVRA,9.077786389697827,9.47,0.7400000000000002,0.07126696832579195,77400.0,0.0,Biotechnology,
RENN,8.791186091845573,8.80,0.5899999999999999,,247800.0,0.0,Internet,
MIME,,29.88,1.7199999999999989,0.06600071352122718,300900.0,0.0,Internet,
COLL,,10.06,0.6600000000000001,0.06567796610169502,378600.0,0.0,Pharmaceuticals,
CRTO,,42.10,4.219999999999999,0.06501391348343032,761400.0,0.0,Internet,
YERR,,18.02,1.0500000000000007,0.05999999999999998,38800.0,0.0,Real Estate,
FOLD,,15.80,0.5999999999999996,0.05898123324396788,3928400.0,0.0,Pharmaceuticals,
ESTE,,11.05,0.6100000000000012,0.05741626794258369,108500.0,0.0,Oil&Gas,
RDY,,37.72,-0.3999999999999986,0.05717488789237666,348400.0,0.0,Pharmaceuticals,
ASMB,,32.13,1.6300000000000026,0.05378812725483767,106400.0,0.0,Biotechnology,
MODN,13.61073191762944,13.90,0.6999999999999993,,124400.0,0.0,Software,
CLSD,7.942121143232329,8.15,0.33999999999999986,,128500.0,0.0,Biotechnology,
EBIX,60.5723702601875,61.00,3.299999999999997,,167700.0,0.0,Software,
XRF,6.38699137586976,6.40,0.2999999999999998,,79300.0,0.0,Internet,
AMPH,16.50022725747462,16.39,0.6600000000000001,,189900.0,0.0,Pharmaceuticals,
HCLP,9.621930876547268,9.55,0.15000000000000036,0.021390374331550915,2001600.0,0.0,Mining,
MRSN,16.85060144395204,17.58,0.6700000000000017,,138900.0,0.0,Pharmaceuticals,
NGL,10.814589543640427,11.10,0.6500000000000004,,1331300.0,0.0,Pipelines,
AKCA,26.120551460619097,26.41,1.1099999999999994,0.047600158667195525,605200.0,0.0,Pharmaceuticals,
HABT,13.024323048432985,13.25,0.5499999999999989,,386000.0,0.0,Retail,
VAC,117.20247325897742,119.33,4.569999999999993,,210200.0,0.0,Entertainment,
BCH,91.0167901740913,92.43,3.8599999999999994,,47100.0,0.0,Banks,
ALDX,8.24796780784967,8.00,0.25,0.05263157894736835,657500.0,0.0,Biotechnology,
BOOM,16.005961878337494,16.20,0.5499999999999989,,30800.0,0.0,Computers,
ABUS,6.968240850806484,7.00,-0.20000000000000018,,159600.0,0.0,Biotechnology,
AVDL,9.674119945113684,9.60,0.4399999999999995,0.04347826086956506,137000.0,0.0,Pharmaceuticals,
WGO,41.1044938304319,41.10,1.5,0.0431472081218273,503200.0,0.0,Home Builders,
CSSE,8.544204488916147,8.60,0.09999999999999964,0.04242424242424238,100700.0,0.0,Entertainment,
MCRB,16.683698204112883,16.00,0.009999999999999787,-0.005593536357986318,179700.0,0.0,Biotechnology,
LCI,17.113116251767856,17.35,0.6999999999999993,0.042042042042042,572900.0,0.0,Pharmaceuticals,
SAVE,33.774598781912914,34.04,1.2800000000000011,0.04097859327217114,1874600.0,0.0,Airlines,
PVG,8.56638224577121,8.61,0.33999999999999986,0.039855072463768126,1678500.0,0.0,Mining,
